test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
205;20.252;1.0093200000000024;4139.09326;4137.666363636364;0.014508945454545454;0.34343999999999997
206;20.352;1.0141600000000004;4146.55811;4138.322136752137;0.014499862905982907;0.3432971384615385
207;20.452;1.0194200000000002;4144.94971;4138.928974358974;0.014503008205128206;0.34335406153846154
208;20.552;1.0245000000000033;4157.12744;4139.535811965812;0.014506153504273504;0.3434109846153846
209;20.652;1.029250000000001;4149.74854;4140.142649572649;0.014509298803418804;0.3434679076923077
210;20.752;1.0342400000000005;4171.01465;4140.749487179487;0.014512444102564102;0.3435248307692308
211;20.852;1.0393100000000004;4157.80469;4141.356324786325;0.0145155894017094;0.34358175384615386
212;20.952;1.0445700000000002;4172.0542;4142.159385665528;0.014517039590443688;0.3436259249146758
213;21.052;1.04908;4152.78369;4143.920477815699;0.014510213651877135;0.3436078361774744
214;21.152;1.0543200000000006;4173.67725;4145.68156996587;0.014503387713310582;0.34358974744027304
215;21.252;1.0591500000000025;4166.85889;4147.44266211604;0.01449656177474403;0.3435716587030717
216;21.352;1.0645700000000033;4164.05078;4149.203754266211;0.014489735836177476;0.34355356996587033
217;21.452;1.06907;4164.42676;4150.964846416382;0.014482909897610923;0.34353548122866895
218;21.552;1.0744400000000027;4147.60791;4150.204972170689;0.014477406307977737;0.34348659369202234
219;21.652;1.079270000000001;4161.40234;4143.833914656774;0.014474846011131727;0.34336915398886836
220;21.752;1.0846000000000018;4164.64111;4137.462857142859;0.014472285714285715;0.3432517142857143
221;21.852;1.0890500000000003;4169.77246;4131.0917996289445;0.014469725417439704;0.34313427458256035
222;21.952;1.0944800000000008;4177.19629;4124.72074211503;0.014467165120593694;0.3430168348794063
223;22.052;1.0993200000000023;4174.79004;4118.349684601115;0.014464604823747682;0.34289939517625234
224;22.152;1.1044800000000023;4139.24609;4122.957712177121;0.014467676014760147;0.3430037269372693
225;22.252;1.10914;4146.24121;4128.520442804427;0.014471236900369003;0.3431273431734317
226;22.352;1.1144400000000019;4156.87256;4134.0831734317335;0.01447479778597786;0.34325095940959405
227;22.452;1.119530000000001;4161.79443;4139.64590405904;0.014478358671586715;0.3433745756457564
228;22.552;1.124360000000003;4160.81787;4145.208634686346;0.014481919557195572;0.34349819188191877
229;22.652;1.1292100000000005;4164.92188;4145.947191780821;0.014482963698630138;0.3435394520547945
230;22.752;1.1343000000000032;4160.96338;4141.861575342466;0.014481491095890411;0.34349835616438357
